MasterNLC,MasterASC,UniqueStationName,Easting,Northing,Latitude,Longitude
6088,KBWr,Knebworth,524925,220267,51.867,-0.187
7445,LAIr,Laindon,568144,188187,51.567,0.425
1534,LEAr,Leagrave,506140,224110,51.905,-0.459
5368,LHDr,Leatherhead,516310,156861,51.299,-0.333
5294,LIHr,Leigh (Kent),554638,146183,51.194,0.212
7446,LESr,Leigh-on-Sea,583041,185673,51.54,0.638
1373,LBZr,Leighton Buzzard,491063,224983,51.916,-0.677
6089,LETr,Letchworth Garden City,521752,232809,51.98,-0.229
1579,LIDr,Lidlington,498968,239137,52.042,-0.558
5369,LFDr,Lingfield,539409,143796,51.176,-0.007
3066,LTKr,Little Kimble,482341,206634,51.752,-0.809
5281,LRBr,London Road (Brighton),531368,105806,50.837,-0.136
5632,LRDr,London Road (Guildford),500247,150057,51.241,-0.565
5674,LNGr,Longcross,497875,166071,51.385,-0.595
5114,LGFr,Longfield,560129,168854,51.396,0.3
1536,LUTr,Luton,509265,221620,51.882,-0.414
5237,MDBr,Maidstone Barracks,575460,156072,51.277,0.514
5115,MDEr,Maidstone East,575876,156190,51.278,0.52
5222,MDWr,Maidstone West,575590,155385,51.271,0.516
5692,MAOr,Martins Heron,488749,168395,51.408,-0.725
7036,MELr,Meldreth,537743,245513,52.091,0.009
5116,MEPr,Meopham,564098,167904,51.386,0.357
1537,MLBr,Millbrook (Bedfordshire),500715,240540,52.054,-0.533
1378,MKCr,Milton Keynes Central,484241,237941,52.033,-0.773
3067,MRSr,Monks Risborough,480939,204778,51.736,-0.829
5238,NHEr,New Hythe,571216,159920,51.313,0.455
7039,NWEr,Newport (Essex),552242,233577,51.98,0.215
5636,NCMr,North Camp,488627,153688,51.275,-0.731
6875,NFAr,North Fambridge,585650,197832,51.649,0.682
5120,NFLr,Northfleet,561602,174440,51.446,0.324
5476,NUFr,Nutfield,530496,149172,51.227,-0.133
5071,OTFr,Otford,553233,159369,51.313,0.197
5602,OXSr,Oxshott,514199,160988,51.337,-0.362
5377,OXTr,Oxted,539368,152811,51.257,-0.004
5224,PDWr,Paddock Wood,567104,145279,51.182,0.39
1561,PKTr,Park Street,514750,204298,51.726,-0.34
5477,PHRr,Penshurst,551930,146473,51.197,0.173
7452,PSEr,Pitsea,573905,187581,51.56,0.507
5285,PRPr,Preston Park,529965,106805,50.846,-0.155
3055,PRRr,Princes Risborough,479947,202673,51.717,-0.844
7419,PRLr,Prittlewell,588027,187013,51.551,0.711
5177,RAIr,Rainham (Kent),581821,166337,51.367,0.611
6884,RLGr,Rayleigh,580222,191046,51.589,0.6
5480,REIr,Reigate,525464,150723,51.242,-0.204
1538,RIDr,Ridgmont,496499,237370,52.026,-0.595
5203,RTRr,Rochester,574790,168159,51.386,0.511
6885,RFDr,Rochford,587313,190435,51.582,0.702
6829,RYNr,Roydon,540489,210500,51.776,0.035
6090,RYSr,Royston,535355,241250,52.053,-0.027
5646,SNDr,Sandhurst,483378,161531,51.347,-0.804
3056,SDRr,Saunderton,481319,198108,51.676,-0.825
6806,SAWr,Sawbridgeworth,549026,215104,51.815,0.161
5124,SEVr,Sevenoaks,552279,155293,51.276,0.182
5638,SFRr,Shalford,500194,147107,51.214,-0.567
7043,SEDr,Shelford,546508,252262,52.149,0.14
5605,SHPr,Shepperton,508155,167581,51.397,-0.447
7044,STHr,Shepreth,539199,248176,52.114,0.031
7455,SRYr,Shoeburyness,593953,185062,51.531,0.795
5074,SEHr,Shoreham (Kent),552577,161433,51.332,0.189
5189,SDAr,Snodland,570668,161881,51.33,0.448
5126,SORr,Sole Street,565551,167600,51.383,0.378
6892,SOFr,South Woodham Ferrers,580388,197729,51.649,0.606
4787,SIAr,Southend Airport,587570,188834,51.567,0.705
7456,SOCr,Southend Central,588199,185479,51.537,0.712
7457,SOEr,Southend East,589489,185755,51.539,0.731
7420,SOVr,Southend Victoria,588126,186073,51.542,0.712
6890,SMNr,Southminster,596201,199562,51.661,0.835
1562,SAAr,St Albans Abbey,514544,206391,51.745,-0.342
5670,SNSr,Staines,504181,171431,51.432,-0.503
7458,SFOr,Stanford-le-Hope,568222,182230,51.514,0.423
6834,SSDr,Stansted Airport,555675,223497,51.888,0.261
6833,SSTr,Stansted Mountfitchet,551395,224802,51.901,0.199
6092,SVGr,Stevenage,523459,224064,51.901,-0.207
1386,SWRr,Stewartby,501502,242243,52.069,-0.521
1467,SKMr,Stoke Mandeville,483970,210576,51.788,-0.784
5248,SCGr,Stone Crossing,557359,174922,51.451,0.263
5191,SOOr,Strood,574025,169354,51.397,0.5
5608,SUUr,Sunbury,510145,169997,51.418,-0.417
5671,SNGr,Sunningdale,495187,166788,51.392,-0.633
5675,SNYr,Sunnymeads,500194,175532,51.47,-0.559
5156,SWMr,Swanscombe,560410,174800,51.449,0.307
7460,TPBr,Thorpe Bay,591647,185697,51.538,0.762
5491,TBDr,Three Bridges,528804,136924,51.117,-0.161
7462,TILr,Tilbury Town,563639,176324,51.462,0.354
5229,TONr,Tonbridge,558697,146048,51.192,0.27
1393,TRIr,Tring,495115,212195,51.8,-0.622
5230,TBWr,Tunbridge Wells,558443,139175,51.13,0.263
5334,UCKr,Uckfield,547330,120911,50.969,0.097
5613,UPHr,Upper Halliford,509218,169404,51.413,-0.431
5676,VIRr,Virginia Water,500121,167888,51.401,-0.562
5575,WALr,Walton-on-Thames,510462,164941,51.373,-0.414
5639,WANr,Wanborough,493129,150339,51.245,-0.667
5241,WTRr,Wateringbury,569149,152835,51.25,0.422
1403,WFNr,Watford North,511403,198596,51.675,-0.39
6095,WASr,Watton-at-Stone,529607,219221,51.857,-0.119
6096,WLWr,Welwyn North,524692,215444,51.824,-0.192
1466,WNDr,Wendover,486540,207739,51.762,-0.747
5684,WBYr,West Byfleet,504204,161105,51.339,-0.505
7466,WHRr,West Horndon,562326,188038,51.568,0.341
5129,WMAr,West Malling,568721,157567,51.292,0.418
7476,WCFr,Westcliff,586764,185490,51.537,0.692
5577,WYBr,Weybridge,507539,163642,51.362,-0.457
7047,WLFr,Whittlesford Parkway,548424,247212,52.103,0.166
6891,WICr,Wickford,574705,193595,51.614,0.522
5672,WNRr,Windsor & Eton Riverside,496873,177236,51.486,-0.606
5697,WNSr,Winnersh,478115,170782,51.431,-0.878
5698,WTIr,Winnersh Triangle,477136,171439,51.437,-0.892
6844,WTMr,Witham,582062,215205,51.806,0.639
5341,WVFr,Wivelsfield,532045,119957,50.964,-0.121
1539,WOBr,Woburn Sands,492424,236373,52.018,-0.655
5685,WOKr,Woking,501430,159225,51.323,-0.546
5696,WKMr,Wokingham,480589,168658,51.411,-0.843
5440,WOHr,Woldingham,535959,156299,51.29,-0.052
5686,WPLr,Worplesdon,498949,155250,51.288,-0.582
5673,WRYr,Wraysbury,501379,174239,51.458,-0.542
5232,YALr,Yalding,568527,150267,51.227,0.412
